Month,departures '000
2010 January,732.4
2010 February,757.2
2010 March,919.6
2010 April,709.5
2010 May,977.9
2010 June,1183.1
2010 July,1269.5
2010 August,1250.5
2010 September,1078.7
2010 October,1045.8
2010 November,800.7
2010 December,700.5
2011 January,729.6
2011 February,724
2011 March,869.6
2011 April,987.9
2011 May,1084.2
2011 June,1198.5
2011 July,1288
2011 August,1247.8
2011 September,1070.3
2011 October,978.7
2011 November,774.3
2011 December,754.3
2012 January,700.5
2012 February,706.9
2012 March,874.8
2012 April,972.6
2012 May,1089.6
2012 June,1222.3
2012 July,1278.8
2012 August,1244.2
2012 September,1122.1
2012 October,1041.3
2012 November,804.1
2012 December,782.4
2013 January,709.5
2013 February,698.7
2013 March,937.3
2013 April,972.3
2013 May,1160.2
2013 June,1292.1
2013 July,1336.7
2013 August,1314.3
2013 September,1144.2
2013 October,1079.9
2013 November,836.5
2013 December,832.7
2014 January,764.7
2014 February,742.8
2014 March,892.5
2014 April,1112.7
2014 May,1223.8
2014 June,1361.8
2014 July,1418.4
2014 August,1403.9
2014 September,1231.2
2014 October,1179.9
2014 November,925.4
2014 December,912.3
2015 January,861.5
2015 February,850.3
2015 March,1063.4
2015 April,1178.5
2015 May,1359.9
2015 June,1541.7
2015 July,1600
2015 August,1552.5
2015 September,1368.8
2015 October,1339.8
2015 November,1055.4
2015 December,1018.6
2016 January,981.7
2016 February,989
2016 March,1236.5
2016 April,1282.8
2016 May,1475.7
2016 June,1684.6
2016 July,1738.7
2016 August,1688.9
2016 September,1498.6
2016 October,1462.3
2016 November,1134.9
2016 December,1145.3
2017 January,1057.1
2017 February,1020.2
2017 March,1227.7
2017 April,1438.7
2017 May,1530.6
2017 June,1761.5
2017 July,1828.6
2017 August,1778.1
2017 September,1583.6
2017 October,1505.9
2017 November,1203.5
2017 December,1204.3
2018 January,1115.6
2018 February,1047.3
2018 March,1294.6
2018 April,1473.8
2018 May,1687.4
2018 June,1879
2018 July,1932
2018 August,1865.2
2018 September,1691
2018 October,1624.9
2018 November,1284
2018 December,1285.7
2019 January,1169.3
2019 February,1139.1
2019 March,1375.4
2019 April,1622.6
2019 May,1744
2019 June,1933.4
2019 July,2006.9
2019 August,1967.5
2019 September,1757.4
2019 October,1660.1
2019 November,1279.1
2019 December,1320.2
2020 January,1183.5
2020 February,1161.9
2020 March,575.6
2020 April,12.8
2020 May,24.7
2020 June,53.1
2020 July,239
2020 August,275.5
2020 September,203.5
2020 October,143.7
2020 November,85.1
2020 December,156.1
2021 January,104.1
2021 February,46.7
2021 March,57.5
2021 April,61.5
2021 May,82.4
2021 June,174.7
2021 July,384
2021 August,673
2021 September,716.6
2021 October,821.2
2021 November,749.7
2021 December,687.9
2022 January,528.4
2022 February,751.9
2022 March,1014.7
2022 April,1395.1
2022 May,1499.1
2022 June,1704
2022 July,1788.2
2022 August,1749.6
2022 September,1592.2
